"Year","Month","Nb_of_distinct_IPs","Nb_of_downloads","package"
2025,"Oct",738,4396,"CytoML"
2025,"Nov",852,2933,"CytoML"
2025,"Dec",1234,6871,"CytoML"
2025,"all",5688,40568,"CytoML"
2025,"Jan",467,1075,"CATALYST"
2025,"Feb",419,983,"CATALYST"
2025,"Mar",472,1075,"CATALYST"
2025,"Apr",530,1213,"CATALYST"
2025,"May",555,1284,"CATALYST"
2025,"Jun",534,1058,"CATALYST"
2025,"Jul",689,1307,"CATALYST"
2025,"Aug",552,2044,"CATALYST"
2025,"Sep",714,8339,"CATALYST"
2025,"Oct",730,1904,"CATALYST"
2025,"Nov",815,2163,"CATALYST"
2025,"Dec",1161,3626,"CATALYST"
2025,"all",5787,26071,"CATALYST"
2025,"Jan",579,1093,"flowAI"
2025,"Feb",560,888,"flowAI"
2025,"Mar",607,1013,"flowAI"
2025,"Apr",641,1135,"flowAI"
2025,"May",620,1100,"flowAI"
2025,"Jun",563,908,"flowAI"
2025,"Jul",652,965,"flowAI"
2025,"Aug",541,832,"flowAI"
2025,"Sep",724,2413,"flowAI"
2025,"Oct",680,1424,"flowAI"
2025,"Nov",598,810,"flowAI"
2025,"Dec",851,1126,"flowAI"
2025,"all",6349,13707,"flowAI"
2025,"Jan",355,849,"diffcyt"
2025,"Feb",395,816,"diffcyt"
2025,"Mar",447,915,"diffcyt"
2025,"Apr",436,946,"diffcyt"
2025,"May",429,945,"diffcyt"
2025,"Jun",325,672,"diffcyt"
2025,"Jul",479,898,"diffcyt"
2025,"Aug",495,1235,"diffcyt"
2025,"Sep",602,4833,"diffcyt"
2025,"Oct",591,1507,"diffcyt"
2025,"Nov",601,1028,"diffcyt"
2025,"Dec",879,2275,"diffcyt"
2025,"all",4759,16919,"diffcyt"
2025,"Jan",302,614,"flowDensity"
2025,"Feb",332,531,"flowDensity"
2025,"Mar",331,531,"flowDensity"
2025,"Apr",401,689,"flowDensity"
2025,"May",432,761,"flowDensity"
2025,"Jun",403,593,"flowDensity"
2025,"Jul",435,606,"flowDensity"
2025,"Aug",395,770,"flowDensity"
2025,"Sep",558,2784,"flowDensity"
2025,"Oct",497,1248,"flowDensity"
2025,"Nov",386,565,"flowDensity"
2025,"Dec",913,3798,"flowDensity"
2025,"all",4151,13490,"flowDensity"
2025,"Jan",211,574,"flowMeans"
2025,"Feb",225,497,"flowMeans"
2025,"Mar",180,424,"flowMeans"
2025,"Apr",241,596,"flowMeans"
2025,"May",347,795,"flowMeans"
2025,"Jun",261,525,"flowMeans"
2025,"Jul",329,572,"flowMeans"
2025,"Aug",297,565,"flowMeans"
2025,"Sep",335,680,"flowMeans"
2025,"Oct",248,531,"flowMeans"
2025,"Nov",449,906,"flowMeans"
2025,"Dec",1327,2091,"flowMeans"
2025,"all",3483,8756,"flowMeans"
2025,"Jan",281,525,"PeacoQC"
2025,"Feb",303,457,"PeacoQC"
2025,"Mar",334,561,"PeacoQC"
2025,"Apr",366,640,"PeacoQC"
2025,"May",314,562,"PeacoQC"
2025,"Jun",283,434,"PeacoQC"
2025,"Jul",369,510,"PeacoQC"
2025,"Aug",278,419,"PeacoQC"
2025,"Sep",558,896,"PeacoQC"
2025,"Oct",416,659,"PeacoQC"
2025,"Nov",351,548,"PeacoQC"
2025,"Dec",712,993,"PeacoQC"
2025,"all",3858,7204,"PeacoQC"
2025,"Jan",240,464,"flowFP"
2025,"Feb",235,410,"flowFP"
2025,"Mar",185,358,"flowFP"
2025,"Apr",278,624,"flowFP"
2025,"May",298,637,"flowFP"
2025,"Jun",322,532,"flowFP"
2025,"Jul",321,473,"flowFP"
2025,"Aug",315,622,"flowFP"
2025,"Sep",348,664,"flowFP"
2025,"Oct",276,510,"flowFP"
2025,"Nov",314,453,"flowFP"
2025,"Dec",1256,1872,"flowFP"
2025,"all",3458,7619,"flowFP"
2025,"Jan",262,505,"flowClean"
2025,"Feb",297,482,"flowClean"
2025,"Mar",301,448,"flowClean"
2025,"Apr",333,609,"flowClean"
2025,"May",312,588,"flowClean"
2025,"Jun",316,496,"flowClean"
2025,"Jul",374,527,"flowClean"
2025,"Aug",324,527,"flowClean"
2025,"Sep",377,566,"flowClean"
2025,"Oct",339,548,"flowClean"
2025,"Nov",254,354,"flowClean"
2025,"Dec",636,790,"flowClean"
2025,"all",3472,6440,"flowClean"
2025,"Jan",259,485,"flowPeaks"
2025,"Feb",256,416,"flowPeaks"
2025,"Mar",234,484,"flowPeaks"
2025,"Apr",300,572,"flowPeaks"
2025,"May",341,692,"flowPeaks"
2025,"Jun",318,491,"flowPeaks"
2025,"Jul",397,577,"flowPeaks"
2025,"Aug",309,551,"flowPeaks"
2025,"Sep",373,659,"flowPeaks"
2025,"Oct",230,361,"flowPeaks"
2025,"Nov",265,406,"flowPeaks"
2025,"Dec",377,488,"flowPeaks"
2025,"all",2959,6182,"flowPeaks"
2025,"Jan",202,401,"COMPASS"
2025,"Feb",187,305,"COMPASS"
2025,"Mar",189,365,"COMPASS"
2025,"Apr",221,409,"COMPASS"
2025,"May",266,535,"COMPASS"
2025,"Jun",279,436,"COMPASS"
2025,"Jul",383,542,"COMPASS"
2025,"Aug",235,429,"COMPASS"
2025,"Sep",288,490,"COMPASS"
2025,"Oct",277,463,"COMPASS"
2025,"Nov",229,331,"COMPASS"
2025,"Dec",709,886,"COMPASS"
2025,"all",2988,5592,"COMPASS"
2025,"Jan",241,468,"SamSPECTRAL"
2025,"Feb",251,403,"SamSPECTRAL"
2025,"Mar",225,421,"SamSPECTRAL"
2025,"Apr",225,418,"SamSPECTRAL"
2025,"May",215,451,"SamSPECTRAL"
2025,"Jun",254,369,"SamSPECTRAL"
2025,"Jul",306,447,"SamSPECTRAL"
2025,"Aug",239,443,"SamSPECTRAL"
2025,"Sep",288,461,"SamSPECTRAL"
2025,"Oct",162,284,"SamSPECTRAL"
2025,"Nov",469,994,"SamSPECTRAL"
2025,"Dec",602,1312,"SamSPECTRAL"
2025,"all",2848,6471,"SamSPECTRAL"
2025,"Jan",176,428,"flowVS"
2025,"Feb",206,378,"flowVS"
2025,"Mar",205,361,"flowVS"
2025,"Apr",230,446,"flowVS"
2025,"May",265,543,"flowVS"
2025,"Jun",282,418,"flowVS"
2025,"Jul",313,435,"flowVS"
2025,"Aug",276,476,"flowVS"
2025,"Sep",260,421,"flowVS"
2025,"Oct",232,394,"flowVS"
2025,"Nov",192,304,"flowVS"
2025,"Dec",701,817,"flowVS"
2025,"all",2837,5421,"flowVS"
2025,"Jan",164,368,"cydar"
2025,"Feb",197,291,"cydar"
2025,"Mar",173,331,"cydar"
2025,"Apr",215,418,"cydar"
2025,"May",222,488,"cydar"
2025,"Jun",251,369,"cydar"
2025,"Jul",362,509,"cydar"
2025,"Aug",222,377,"cydar"
2025,"Sep",329,683,"cydar"
2025,"Oct",301,811,"cydar"
2025,"Nov",221,319,"cydar"
2025,"Dec",575,677,"cydar"
2025,"all",2764,5641,"cydar"
2025,"Jan",217,495,"flowMerge"
2025,"Feb",222,396,"flowMerge"
2025,"Mar",188,365,"flowMerge"
2025,"Apr",207,445,"flowMerge"
2025,"May",184,428,"flowMerge"
2025,"Jun",206,330,"flowMerge"
2025,"Jul",269,386,"flowMerge"
2025,"Aug",282,518,"flowMerge"
2025,"Sep",179,301,"flowMerge"
2025,"Oct",175,317,"flowMerge"
2025,"Nov",234,349,"flowMerge"
2025,"Dec",861,1060,"flowMerge"
2025,"all",2816,5390,"flowMerge"
2025,"Jan",223,499,"flowTrans"
2025,"Feb",223,392,"flowTrans"
2025,"Mar",178,338,"flowTrans"
2025,"Apr",204,432,"flowTrans"
2025,"May",166,386,"flowTrans"
2025,"Jun",164,268,"flowTrans"
2025,"Jul",239,357,"flowTrans"
2025,"Aug",300,582,"flowTrans"
2025,"Sep",357,1012,"flowTrans"
2025,"Oct",160,285,"flowTrans"
2025,"Nov",183,301,"flowTrans"
2025,"Dec",734,849,"flowTrans"
2025,"all",2844,5701,"flowTrans"
2025,"Jan",211,380,"distinct"
2025,"Feb",184,285,"distinct"
2025,"Mar",211,400,"distinct"
2025,"Apr",224,475,"distinct"
2025,"May",281,563,"distinct"
2025,"Jun",317,505,"distinct"
2025,"Jul",427,711,"distinct"
2025,"Aug",235,409,"distinct"
2025,"Sep",330,632,"distinct"
2025,"Oct",238,447,"distinct"
2025,"Nov",181,292,"distinct"
2025,"Dec",331,466,"distinct"
2025,"all",2746,5565,"distinct"
2025,"Jan",201,381,"flowCut"
2025,"Feb",198,320,"flowCut"
2025,"Mar",196,376,"flowCut"
2025,"Apr",227,431,"flowCut"
2025,"May",218,450,"flowCut"
2025,"Jun",240,368,"flowCut"
2025,"Jul",274,407,"flowCut"
2025,"Aug",187,299,"flowCut"
2025,"Sep",310,531,"flowCut"
2025,"Oct",250,404,"flowCut"
2025,"Nov",204,300,"flowCut"
2025,"Dec",357,425,"flowCut"
2025,"all",2485,4692,"flowCut"
2025,"Jan",202,456,"flowMatch"
2025,"Feb",183,323,"flowMatch"
2025,"Mar",158,297,"flowMatch"
2025,"Apr",215,462,"flowMatch"
2025,"May",240,516,"flowMatch"
2025,"Jun",211,377,"flowMatch"
2025,"Jul",302,457,"flowMatch"
2025,"Aug",197,352,"flowMatch"
2025,"Sep",160,275,"flowMatch"
2025,"Oct",134,251,"flowMatch"
2025,"Nov",166,269,"flowMatch"
2025,"Dec",640,725,"flowMatch"
2025,"all",2418,4760,"flowMatch"
2025,"Jan",181,379,"flowBeads"
2025,"Feb",178,327,"flowBeads"
2025,"Mar",161,317,"flowBeads"
2025,"Apr",193,408,"flowBeads"
2025,"May",200,438,"flowBeads"
2025,"Jun",192,298,"flowBeads"
2025,"Jul",259,374,"flowBeads"
2025,"Aug",196,340,"flowBeads"
2025,"Sep",190,311,"flowBeads"
2025,"Oct",151,300,"flowBeads"
2025,"Nov",175,278,"flowBeads"
2025,"Dec",770,891,"flowBeads"
2025,"all",2532,4661,"flowBeads"
2025,"Jan",168,371,"flowTime"
2025,"Feb",171,330,"flowTime"
2025,"Mar",159,354,"flowTime"
2025,"Apr",230,507,"flowTime"
2025,"May",237,503,"flowTime"
2025,"Jun",241,356,"flowTime"
2025,"Jul",328,472,"flowTime"
2025,"Aug",225,385,"flowTime"
2025,"Sep",180,309,"flowTime"
2025,"Oct",149,287,"flowTime"
2025,"Nov",178,294,"flowTime"
2025,"Dec",525,638,"flowTime"
2025,"all",2443,4806,"flowTime"
2025,"Jan",186,383,"sccomp"
2025,"Feb",197,335,"sccomp"
2025,"Mar",200,359,"sccomp"
2025,"Apr",222,435,"sccomp"
2025,"May",244,505,"sccomp"
2025,"Jun",219,384,"sccomp"
2025,"Jul",289,484,"sccomp"
2025,"Aug",216,373,"sccomp"
2025,"Sep",205,353,"sccomp"
2025,"Oct",188,338,"sccomp"
2025,"Nov",194,322,"sccomp"
2025,"Dec",284,398,"sccomp"
2025,"all",2293,4669,"sccomp"
2025,"Jan",175,403,"flowCHIC"
2025,"Feb",193,340,"flowCHIC"
2025,"Mar",166,326,"flowCHIC"
2025,"Apr",196,447,"flowCHIC"
2025,"May",237,504,"flowCHIC"
2025,"Jun",206,319,"flowCHIC"
2025,"Jul",258,373,"flowCHIC"
2025,"Aug",246,420,"flowCHIC"
2025,"Sep",175,278,"flowCHIC"
2025,"Oct",134,234,"flowCHIC"
2025,"Nov",163,283,"flowCHIC"
2025,"Dec",433,506,"flowCHIC"
2025,"all",2203,4433,"flowCHIC"
2025,"Jan",160,328,"flowSpecs"
2025,"Feb",145,243,"flowSpecs"
2025,"Mar",154,260,"flowSpecs"
2025,"Apr",204,399,"flowSpecs"
2025,"May",232,455,"flowSpecs"
2025,"Jun",202,323,"flowSpecs"
2025,"Jul",275,420,"flowSpecs"
2025,"Aug",195,311,"flowSpecs"
2025,"Sep",204,334,"flowSpecs"
2025,"Oct",137,254,"flowSpecs"
2025,"Nov",167,260,"flowSpecs"
2025,"Dec",431,531,"flowSpecs"
2025,"all",2208,4118,"flowSpecs"
2025,"Jan",162,480,"DepecheR"
2025,"Feb",158,379,"DepecheR"
2025,"Mar",171,370,"DepecheR"
2025,"Apr",231,594,"DepecheR"
2025,"May",263,598,"DepecheR"
2025,"Jun",237,479,"DepecheR"
2025,"Jul",304,534,"DepecheR"
2025,"Aug",196,313,"DepecheR"
2025,"Sep",187,296,"DepecheR"
2025,"Oct",155,270,"DepecheR"
2025,"Nov",154,269,"DepecheR"
2025,"Dec",330,402,"DepecheR"
2025,"all",2216,4984,"DepecheR"
2025,"Jan",144,319,"treekoR"
2025,"Feb",135,221,"treekoR"
2025,"Mar",174,294,"treekoR"
2025,"Apr",188,369,"treekoR"
2025,"May",251,477,"treekoR"
2025,"Jun",221,342,"treekoR"
2025,"Jul",326,480,"treekoR"
2025,"Aug",203,313,"treekoR"
2025,"Sep",177,301,"treekoR"
2025,"Oct",157,291,"treekoR"
2025,"Nov",187,343,"treekoR"
2025,"Dec",280,416,"treekoR"
2025,"all",2169,4166,"treekoR"
2025,"Jan",191,434,"flowBin"
2025,"Feb",188,332,"flowBin"
2025,"Mar",149,291,"flowBin"
2025,"Apr",140,315,"flowBin"
2025,"May",124,356,"flowBin"
2025,"Jun",132,231,"flowBin"
2025,"Jul",227,353,"flowBin"
2025,"Aug",200,344,"flowBin"
2025,"Sep",174,297,"flowBin"
2025,"Oct",188,338,"flowBin"
2025,"Nov",194,294,"flowBin"
2025,"Dec",490,566,"flowBin"
2025,"all",2226,4151,"flowBin"
2025,"Jan",167,380,"MetaCyto"
2025,"Feb",166,313,"MetaCyto"
2025,"Mar",167,316,"MetaCyto"
2025,"Apr",189,401,"MetaCyto"
2025,"May",212,427,"MetaCyto"
2025,"Jun",180,302,"MetaCyto"
2025,"Jul",273,393,"MetaCyto"
2025,"Aug",183,294,"MetaCyto"
2025,"Sep",280,479,"MetaCyto"
2025,"Oct",141,285,"MetaCyto"
2025,"Nov",146,279,"MetaCyto"
2025,"Dec",309,403,"MetaCyto"
2025,"all",2122,4272,"MetaCyto"
2025,"Jan",197,393,"immunoClust"
2025,"Feb",172,306,"immunoClust"
2025,"Mar",163,299,"immunoClust"
2025,"Apr",200,473,"immunoClust"
2025,"May",227,515,"immunoClust"
2025,"Jun",204,347,"immunoClust"
2025,"Jul",283,411,"immunoClust"
2025,"Aug",180,303,"immunoClust"
2025,"Sep",146,282,"immunoClust"
2025,"Oct",133,328,"immunoClust"
2025,"Nov",158,269,"immunoClust"
2025,"Dec",343,415,"immunoClust"
2025,"all",2042,4341,"immunoClust"
2025,"Jan",156,345,"scDataviz"
2025,"Feb",177,293,"scDataviz"
2025,"Mar",150,299,"scDataviz"
2025,"Apr",194,373,"scDataviz"
2025,"May",216,446,"scDataviz"
2025,"Jun",228,345,"scDataviz"
2025,"Jul",313,445,"scDataviz"
2025,"Aug",174,297,"scDataviz"
2025,"Sep",153,255,"scDataviz"
2025,"Oct",139,248,"scDataviz"
2025,"Nov",169,262,"scDataviz"
2025,"Dec",275,351,"scDataviz"
2025,"all",2061,3959,"scDataviz"
2025,"Jan",182,314,"cytoMEM"
2025,"Feb",158,272,"cytoMEM"
2025,"Mar",189,291,"cytoMEM"
2025,"Apr",229,435,"cytoMEM"
2025,"May",208,417,"cytoMEM"
2025,"Jun",208,324,"cytoMEM"
2025,"Jul",229,328,"cytoMEM"
2025,"Aug",170,278,"cytoMEM"
2025,"Sep",187,310,"cytoMEM"
2025,"Oct",193,380,"cytoMEM"
2025,"Nov",146,313,"cytoMEM"
2025,"Dec",175,268,"cytoMEM"
2025,"all",2036,3930,"cytoMEM"
2025,"Jan",182,313,"flowPloidy"
2025,"Feb",164,294,"flowPloidy"
2025,"Mar",146,245,"flowPloidy"
2025,"Apr",196,391,"flowPloidy"
2025,"May",215,450,"flowPloidy"
2025,"Jun",193,315,"flowPloidy"
2025,"Jul",246,364,"flowPloidy"
2025,"Aug",240,404,"flowPloidy"
2025,"Sep",166,261,"flowPloidy"
2025,"Oct",136,247,"flowPloidy"
2025,"Nov",140,234,"flowPloidy"
2025,"Dec",311,383,"flowPloidy"
2025,"all",2008,3901,"flowPloidy"
2025,"Jan",171,322,"plotGrouper"
2025,"Feb",142,257,"plotGrouper"
2025,"Mar",143,266,"plotGrouper"
2025,"Apr",136,272,"plotGrouper"
2025,"May",159,358,"plotGrouper"
2025,"Jun",131,236,"plotGrouper"
2025,"Jul",201,317,"plotGrouper"
2025,"Aug",173,289,"plotGrouper"
2025,"Sep",149,271,"plotGrouper"
2025,"Oct",127,255,"plotGrouper"
2025,"Nov",139,215,"plotGrouper"
2025,"Dec",426,502,"plotGrouper"
2025,"all",1976,3560,"plotGrouper"
2025,"Jan",206,563,"CytoDx"
2025,"Feb",180,363,"CytoDx"
2025,"Mar",169,311,"CytoDx"
2025,"Apr",159,379,"CytoDx"
2025,"May",149,385,"CytoDx"
2025,"Jun",128,231,"CytoDx"
2025,"Jul",223,343,"CytoDx"
2025,"Aug",205,330,"CytoDx"
2025,"Sep",196,321,"CytoDx"
2025,"Oct",164,315,"CytoDx"
2025,"Nov",167,288,"CytoDx"
2025,"Dec",217,316,"CytoDx"
2025,"all",1970,4145,"CytoDx"
2025,"Jan",175,391,"Sconify"
2025,"Feb",139,276,"Sconify"
2025,"Mar",162,310,"Sconify"
2025,"Apr",212,465,"Sconify"
2025,"May",215,457,"Sconify"
2025,"Jun",209,329,"Sconify"
2025,"Jul",262,371,"Sconify"
2025,"Aug",168,288,"Sconify"
2025,"Sep",173,292,"Sconify"
2025,"Oct",134,360,"Sconify"
2025,"Nov",131,252,"Sconify"
2025,"Dec",192,287,"Sconify"
2025,"all",1861,4078,"Sconify"
2025,"Jan",199,316,"flowPlots"
2025,"Feb",201,360,"flowPlots"
2025,"Mar",121,248,"flowPlots"
2025,"Apr",152,315,"flowPlots"
2025,"May",148,366,"flowPlots"
2025,"Jun",143,247,"flowPlots"
2025,"Jul",227,340,"flowPlots"
2025,"Aug",205,385,"flowPlots"
2025,"Sep",157,268,"flowPlots"
2025,"Oct",127,216,"flowPlots"
2025,"Nov",169,265,"flowPlots"
2025,"Dec",234,301,"flowPlots"
2025,"all",1935,3627,"flowPlots"
2025,"Jan",160,400,"GateFinder"
2025,"Feb",145,306,"GateFinder"
2025,"Mar",153,333,"GateFinder"
2025,"Apr",158,358,"GateFinder"
2025,"May",144,378,"GateFinder"
2025,"Jun",134,229,"GateFinder"
2025,"Jul",213,335,"GateFinder"
2025,"Aug",179,291,"GateFinder"
2025,"Sep",154,267,"GateFinder"
2025,"Oct",119,268,"GateFinder"
2025,"Nov",151,265,"GateFinder"
2025,"Dec",393,495,"GateFinder"
2025,"all",1945,3925,"GateFinder"
2025,"Jan",147,235,"flowGate"
2025,"Feb",134,214,"flowGate"
2025,"Mar",156,250,"flowGate"
2025,"Apr",197,356,"flowGate"
2025,"May",230,459,"flowGate"
2025,"Jun",165,271,"flowGate"
2025,"Jul",196,310,"flowGate"
2025,"Aug",163,262,"flowGate"
2025,"Sep",183,308,"flowGate"
2025,"Oct",142,257,"flowGate"
2025,"Nov",137,225,"flowGate"
2025,"Dec",190,261,"flowGate"
2025,"all",1851,3408,"flowGate"
2025,"Jan",153,313,"flowGraph"
2025,"Feb",115,222,"flowGraph"
2025,"Mar",144,260,"flowGraph"
2025,"Apr",193,391,"flowGraph"
2025,"May",238,488,"flowGraph"
2025,"Jun",171,307,"flowGraph"
2025,"Jul",245,372,"flowGraph"
2025,"Aug",154,254,"flowGraph"
2025,"Sep",161,284,"flowGraph"
2025,"Oct",136,234,"flowGraph"
2025,"Nov",137,234,"flowGraph"
2025,"Dec",202,286,"flowGraph"
2025,"all",1807,3645,"flowGraph"
2025,"Jan",188,388,"infinityFlow"
2025,"Feb",143,252,"infinityFlow"
2025,"Mar",148,261,"infinityFlow"
2025,"Apr",174,356,"infinityFlow"
2025,"May",202,441,"infinityFlow"
2025,"Jun",174,295,"infinityFlow"
2025,"Jul",212,315,"infinityFlow"
2025,"Aug",155,257,"infinityFlow"
2025,"Sep",166,271,"infinityFlow"
2025,"Oct",121,246,"infinityFlow"
2025,"Nov",129,221,"infinityFlow"
2025,"Dec",255,320,"infinityFlow"
2025,"all",1841,3623,"infinityFlow"
2025,"Jan",136,276,"cyanoFilter"
2025,"Feb",131,230,"cyanoFilter"
2025,"Mar",137,245,"cyanoFilter"
2025,"Apr",165,344,"cyanoFilter"
2025,"May",208,419,"cyanoFilter"
2025,"Jun",188,306,"cyanoFilter"
2025,"Jul",239,355,"cyanoFilter"
2025,"Aug",181,292,"cyanoFilter"
2025,"Sep",148,257,"cyanoFilter"
2025,"Oct",144,256,"cyanoFilter"
2025,"Nov",139,223,"cyanoFilter"
2025,"Dec",209,276,"cyanoFilter"
2025,"all",1745,3479,"cyanoFilter"
2025,"Jan",171,310,"optimalFlow"
2025,"Feb",132,230,"optimalFlow"
2025,"Mar",154,271,"optimalFlow"
2025,"Apr",174,347,"optimalFlow"
2025,"May",208,427,"optimalFlow"
2025,"Jun",162,284,"optimalFlow"
2025,"Jul",220,340,"optimalFlow"
2025,"Aug",167,260,"optimalFlow"
2025,"Sep",165,264,"optimalFlow"
2025,"Oct",131,247,"optimalFlow"
2025,"Nov",129,218,"optimalFlow"
2025,"Dec",244,305,"optimalFlow"
2025,"all",1858,3503,"optimalFlow"
2025,"Jan",161,298,"CytoGLMM"
2025,"Feb",140,252,"CytoGLMM"
2025,"Mar",153,264,"CytoGLMM"
2025,"Apr",134,289,"CytoGLMM"
2025,"May",152,359,"CytoGLMM"
2025,"Jun",159,255,"CytoGLMM"
2025,"Jul",246,353,"CytoGLMM"
2025,"Aug",166,336,"CytoGLMM"
2025,"Sep",156,266,"CytoGLMM"
2025,"Oct",169,275,"CytoGLMM"
2025,"Nov",130,221,"CytoGLMM"
2025,"Dec",261,336,"CytoGLMM"
